127.0.0.1 - - [26/Jun/2021:20:27:28 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/login.jsf HTTP/1.1" 200 5169
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/css/animate.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/js/image-loader.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/resources/images/login/RestaurantLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/js/collapse.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/js/bootstrap-notify.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/js/bootstrap-notify.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/js/collapse.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:33 -0500] "GET /restauranteweb/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:43 -0500] "POST /restauranteweb/login.jsf HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 17676
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/css/dropdown-submenu.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/css/animate.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
